"WVK_ID","WVK_BEGDAT","BEGAFSTAND","ENDAFSTAND","BEGKM","ENDKM"
90231001,20211101,0,61,2.269,2.2
90231002,20211101,0,263,2.2,1.9
91117017,20200601,0,8,1.546,1.554
91121001,20211101,0,1074,.949,2.036
91136020,20211001,0,202,22.926,23.128
91136021,20210401,0,942,15.268,16.211
91142002,20211101,0,283,13.13,12.848
91142003,20211101,0,242,13.37,13.13
91143003,20010501,0,19,6.695,6.7
91143007,20211101,0,447,13.816,13.37
91174001,20211101,0,538,2.501,1.932
91179010,20211101,0,19,39.077,39.096
91179011,20211101,0,181,39.077,38.898
91179012,20211101,0,19,39.085,39.104
91179013,20211101,0,10,39.096,39.085
91179015,20211101,0,48,39.104,39.077
91199001,20211101,0,1663,3.793,2.134
91199003,20211101,0,50,3.841,3.793
91227006,20220201,0,13,48.095,48.076
91227010,20220701,0,222,48.295,48.095
91227011,20211001,0,192,9.575,9.382
91227012,20200801,0,59,48.076,48.031
91228001,20211001,0,502,47.374,47.853
91228005,20211001,0,2791,47.374,44.615
91229002,20211101,0,401,1.101,.746
91234005,20150301,0,21,2.738,2.753
91234006,20150301,0,22,2.753,2.769
92129009,20211101,0,1017,6.485,7.479
92131048,20211101,0,9,7.453,7.495
92131054,20211101,0,25,7.517,7.492
92131055,20211101,0,22,7.495,7.517
92131056,20211101,0,26,7.479,7.453
92131057,20211101,0,25,7.504,7.479
92134046,20211101,0,30,9.1,9.13
92134052,20211101,0,28,9.128,9.1
92134056,20211101,0,1242,9.166,10.399
92136005,20211001,0,201,23.368,23.568
92139001,20211101,0,601,11.6,10.994
92140001,20211101,0,755,12.4,11.6
92141001,20211101,0,433,12.848,12.4
92175001,20211101,0,303,1.58,1.275
92175002,20211101,0,355,1.932,1.58
92178049,20211101,0,86,153.335,153.423
92178051,20220501,0,745,153.4,152.666
92178056,20220101,0,534,153.443,152.912
92178057,20211101,0,25,153.468,153.443
92178069,20211101,0,43,38.802,38.78
92181034,20211101,0,343,13.5,13.154
92181039,20090301,0,20,13.59,13.605
92181040,20090301,0,29,13.573,13.59
92234004,20211101,0,809,1.928,2.738
93136017,20211101,0,358,.575,.933
93136019,20211001,0,568,23.568,24.138
93136029,20211101,0,54,10.399,10.453
93136032,20211101,0,17,10.433,10.416
93136044,20220101,0,23,23.712,23.735
93136048,20211101,0,1060,.933,2
93136051,20211101,0,349,.575,.226
93138005,20211101,0,601,10.994,10.433
93175004,20211101,0,714,37.054,36.357
93176008,20061101,0,23,37.768,37.751
93176009,20061101,0,27,37.751,37.768
93176010,20061101,0,23,37.735,37.751
93176012,20061101,0,25,37.751,37.735
93176014,20211101,0,657,37.735,37.054
93178004,20220101,0,75,152.912,152.837
93179011,20211001,0,170,152.836,152.666
